DDT,BLOQUE,TRATAMIENTO,INCIDENCIA,SEVERIDAD,n
30,3,100 % OR,0.0,66.66666666666666,7
30,3,100 % Si,0.2857142857142857,85.71428571428571,7
30,3,150 % OR,0.2857142857142857,85.71428571428571,7
30,3,150 % Si,0.8571428571428571,128.57142857142858,7
30,3,50 % OR,0.16666666666666666,88.88888888888889,6
30,3,50 % Si,0.3333333333333333,94.44444444444444,6
30,3,CERO F,0.0,77.77777777777779,6
33,1,100 % OR,0.5714285714285714,104.76190476190477,7
33,1,100 % Si,0.5714285714285714,109.52380952380953,7
33,1,150 % OR,0.42857142857142855,100.0,7
33,1,150 % Si,0.42857142857142855,109.52380952380953,7
33,1,50 % OR,0.375,83.33333333333334,8
33,1,50 % Si,0.3,66.66666666666666,10
33,1,CERO F,0.14285714285714285,80.95238095238095,7
33,2,100 % OR,0.2857142857142857,85.71428571428571,7
33,2,100 % Si,0.2857142857142857,90.47619047619048,7
33,2,150 % OR,0.7142857142857143,104.76190476190477,7
33,2,150 % Si,1.0,128.57142857142858,7
33,2,50 % OR,0.4444444444444444,70.37037037037037,9
33,2,50 % Si,0.42857142857142855,104.76190476190477,7
33,2,CERO F,0.0,66.66666666666666,7
33,3,100 % OR,0.0,66.66666666666666,7
33,3,100 % Si,0.5714285714285714,95.23809523809523,7
33,3,150 % OR,0.5714285714285714,95.23809523809523,7
33,3,150 % Si,0.8571428571428571,128.57142857142858,7
33,3,50 % OR,0.3333333333333333,94.44444444444444,6
33,3,50 % Si,0.5,105.55555555555556,6
33,3,CERO F,0.16666666666666666,83.33333333333334,6
37,1,100 % OR,0.5714285714285714,114.28571428571428,7
37,1,100 % Si,0.5714285714285714,119.04761904761905,7
37,1,150 % OR,0.5714285714285714,104.76190476190477,7
37,1,150 % Si,0.8571428571428571,128.57142857142858,7
37,1,50 % OR,0.375,87.5,8
37,1,50 % Si,0.5,73.33333333333333,10
37,1,CERO F,0.42857142857142855,90.47619047619048,7
37,2,100 % OR,0.2857142857142857,85.71428571428571,7
37,2,100 % Si,0.7142857142857143,109.52380952380953,7
37,2,150 % OR,0.8571428571428571,114.28571428571428,7
37,2,150 % Si,1.0,138.0952380952381,7
37,2,50 % OR,0.5555555555555556,88.88888888888889,9
37,2,50 % Si,0.5714285714285714,109.52380952380953,7
37,2,CERO F,0.5714285714285714,90.47619047619048,7
37,3,100 % OR,0.14285714285714285,71.42857142857143,7
37,3,100 % Si,0.7142857142857143,114.28571428571428,7
37,3,150 % OR,0.5714285714285714,95.23809523809523,7
37,3,150 % Si,0.8571428571428571,138.0952380952381,7
37,3,50 % OR,0.5,105.55555555555556,6
37,3,50 % Si,0.8333333333333334,116.66666666666667,6
37,3,CERO F,0.16666666666666666,83.33333333333334,6
40,1,100 % OR,0.7142857142857143,123.80952380952381,7
